SA4 Name 2016,Population,National Remoteness Areas,Month,Year,Year-Month,Crash_Count,Fatality_Count,Crash_Rate,Fatality_Rate
Adelaide - Central and Hills,310091,Major Cities of Australia,6,2015,2015-6,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,6,2017,2017-6,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,6,2021,2021-6,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,7,2018,2018-7,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,8,2017,2017-8,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,8,2019,2019-8,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,9,2018,2018-9,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,10,2015,2015-10,3,3,0.96745794,0.96745794
Adelaide - Central and Hills,310091,Major Cities of Australia,10,2017,2017-10,3,3,0.96745794,0.96745794
Adelaide - Central and Hills,310091,Major Cities of Australia,10,2019,2019-10,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,10,2020,2020-10,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,11,2016,2016-11,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,11,2017,2017-11,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,11,2018,2018-11,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,11,2020,2020-11,2,2,0.64497196,0.64497196
Adelaide - Central and Hills,310091,Major Cities of Australia,12,2018,2018-12,1,1,0.32248598,0.32248598
Adelaide - Central and Hills,310091,Major Cities of Australia,12,2020,2020-12,1,1,0.32248598,0.32248598
Adelaide - North,448458,Inner Regional Australia,1,2017,2017-1,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,1,2021,2021-1,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,2,2018,2018-2,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,3,2021,2021-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,4,2017,2017-4,1,2,0.222986322,0.445972644
Adelaide - North,448458,Inner Regional Australia,6,2015,2015-6,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,6,2018,2018-6,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,8,2016,2016-8,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,9,2016,2016-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,9,2017,2017-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,10,2018,2018-10,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,11,2015,2015-11,1,1,0.222986322,0.222986322
Adelaide - North,448458,Inner Regional Australia,11,2019,2019-11,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,1,2019,2019-1,6,6,1.337917932,1.337917932
Adelaide - North,448458,Major Cities of Australia,1,2020,2020-1,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,1,2021,2021-1,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,2,2015,2015-2,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,2,2020,2020-2,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,3,2016,2016-3,2,3,0.445972644,0.668958966
Adelaide - North,448458,Major Cities of Australia,3,2017,2017-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,3,2018,2018-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,3,2019,2019-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,3,2020,2020-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,3,2021,2021-3,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,4,2017,2017-4,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,4,2020,2020-4,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,4,2021,2021-4,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,5,2018,2018-5,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,5,2020,2020-5,1,2,0.222986322,0.445972644
Adelaide - North,448458,Major Cities of Australia,6,2015,2015-6,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,6,2017,2017-6,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,6,2021,2021-6,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,7,2017,2017-7,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,7,2019,2019-7,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,7,2020,2020-7,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,8,2015,2015-8,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,8,2016,2016-8,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,8,2017,2017-8,6,6,1.337917932,1.337917932
Adelaide - North,448458,Major Cities of Australia,8,2019,2019-8,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,8,2020,2020-8,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,9,2015,2015-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,9,2016,2016-9,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,9,2017,2017-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,9,2019,2019-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,9,2020,2020-9,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,10,2015,2015-10,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,10,2016,2016-10,2,2,0.445972644,0.445972644
Adelaide - North,448458,Major Cities of Australia,10,2017,2017-10,2,3,0.445972644,0.668958966
Adelaide - North,448458,Major Cities of Australia,10,2018,2018-10,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,10,2019,2019-10,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,10,2020,2020-10,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,11,2015,2015-11,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,11,2016,2016-11,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,11,2018,2018-11,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,11,2019,2019-11,5,5,1.11493161,1.11493161
Adelaide - North,448458,Major Cities of Australia,12,2017,2017-12,1,1,0.222986322,0.222986322
Adelaide - North,448458,Major Cities of Australia,12,2018,2018-12,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,12,2019,2019-12,3,3,0.668958966,0.668958966
Adelaide - North,448458,Major Cities of Australia,12,2020,2020-12,1,1,0.222986322,0.222986322
Adelaide - South,374910,Inner Regional Australia,1,2015,2015-1,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,5,2015,2015-5,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,7,2015,2015-7,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,8,2017,2017-8,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,11,2019,2019-11,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,12,2017,2017-12,1,1,0.266730682,0.266730682
Adelaide - South,374910,Inner Regional Australia,12,2020,2020-12,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,1,2015,2015-1,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,1,2016,2016-1,1,3,0.266730682,0.800192046
Adelaide - South,374910,Major Cities of Australia,1,2017,2017-1,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,1,2021,2021-1,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,2,2015,2015-2,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,2,2016,2016-2,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,2,2017,2017-2,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,2,2021,2021-2,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,3,2019,2019-3,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,3,2020,2020-3,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,3,2021,2021-3,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,4,2015,2015-4,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,4,2016,2016-4,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,4,2018,2018-4,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,4,2021,2021-4,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,5,2015,2015-5,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,5,2016,2016-5,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,5,2017,2017-5,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,5,2019,2019-5,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,6,2017,2017-6,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,6,2019,2019-6,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,6,2021,2021-6,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,7,2017,2017-7,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,7,2018,2018-7,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,7,2021,2021-7,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,8,2019,2019-8,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,8,2020,2020-8,2,2,0.533461364,0.533461364
Adelaide - South,374910,Major Cities of Australia,9,2016,2016-9,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,9,2018,2018-9,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,10,2016,2016-10,3,3,0.800192046,0.800192046
Adelaide - South,374910,Major Cities of Australia,10,2017,2017-10,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,10,2019,2019-10,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,10,2020,2020-10,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,11,2017,2017-11,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,11,2020,2020-11,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,12,2016,2016-12,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,12,2017,2017-12,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,12,2018,2018-12,1,1,0.266730682,0.266730682
Adelaide - South,374910,Major Cities of Australia,12,2020,2020-12,1,1,0.266730682,0.266730682
Adelaide - West,243142,Major Cities of Australia,1,2015,2015-1,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,1,2018,2018-1,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,1,2019,2019-1,3,3,1.233846888,1.233846888
Adelaide - West,243142,Major Cities of Australia,1,2020,2020-1,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,1,2021,2021-1,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,2,2015,2015-2,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,2,2016,2016-2,2,2,0.822564592,0.822564592
Adelaide - West,243142,Major Cities of Australia,3,2015,2015-3,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,3,2017,2017-3,3,3,1.233846888,1.233846888
Adelaide - West,243142,Major Cities of Australia,3,2021,2021-3,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,4,2015,2015-4,2,2,0.822564592,0.822564592
Adelaide - West,243142,Major Cities of Australia,4,2021,2021-4,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,5,2020,2020-5,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,5,2021,2021-5,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,6,2016,2016-6,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,6,2018,2018-6,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,6,2019,2019-6,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,6,2020,2020-6,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,7,2017,2017-7,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,7,2018,2018-7,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,7,2021,2021-7,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,8,2015,2015-8,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,8,2017,2017-8,2,2,0.822564592,0.822564592
Adelaide - West,243142,Major Cities of Australia,9,2017,2017-9,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,9,2019,2019-9,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,10,2015,2015-10,2,2,0.822564592,0.822564592
Adelaide - West,243142,Major Cities of Australia,10,2019,2019-10,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,10,2020,2020-10,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,11,2015,2015-11,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,11,2016,2016-11,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,11,2017,2017-11,1,1,0.411282296,0.411282296
Adelaide - West,243142,Major Cities of Australia,12,2017,2017-12,3,3,1.233846888,1.233846888
Adelaide - West,243142,Major Cities of Australia,12,2019,2019-12,2,2,0.822564592,0.822564592
Australian Capital Territory,431380,Inner Regional Australia,1,2021,2021-1,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,3,2016,2016-3,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,3,2017,2017-3,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,7,2016,2016-7,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Inner Regional Australia,9,2016,2016-9,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,9,2019,2019-9,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,9,2020,2020-9,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,11,2015,2015-11,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,11,2016,2016-11,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Inner Regional Australia,11,2017,2017-11,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,1,2015,2015-1,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,1,2018,2018-1,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,1,2019,2019-1,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,2,2017,2017-2,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,2,2018,2018-2,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,2,2021,2021-2,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,3,2021,2021-3,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,4,2015,2015-4,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,4,2018,2018-4,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,4,2020,2020-4,1,2,0.231814178,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,4,2021,2021-4,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,5,2015,2015-5,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,5,2016,2016-5,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,5,2017,2017-5,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,5,2018,2018-5,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,6,2015,2015-6,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,6,2019,2019-6,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,6,2021,2021-6,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,7,2015,2015-7,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,7,2018,2018-7,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,7,2020,2020-7,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,9,2015,2015-9,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,9,2016,2016-9,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,9,2020,2020-9,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,10,2016,2016-10,2,2,0.463628356,0.463628356
Australian Capital Territory,431380,Major Cities of Australia,10,2019,2019-10,1,1,0.231814178,0.231814178
Australian Capital Territory,431380,Major Cities of Australia,12,2015,2015-12,3,4,0.695442533,0.927256711
Australian Capital Territory,431380,Major Cities of Australia,12,2019,2019-12,1,1,0.231814178,0.231814178
Ballarat,169854,Inner Regional Australia,1,2017,2017-1,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,1,2018,2018-1,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,1,2019,2019-1,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,1,2020,2020-1,4,4,2.354963675,2.354963675
Ballarat,169854,Inner Regional Australia,2,2015,2015-2,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,2,2016,2016-2,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,2,2017,2017-2,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,2,2019,2019-2,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,3,2015,2015-3,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,3,2017,2017-3,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,3,2019,2019-3,3,3,1.766222756,1.766222756
Ballarat,169854,Inner Regional Australia,3,2020,2020-3,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,4,2015,2015-4,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,4,2016,2016-4,3,5,1.766222756,2.943704593
Ballarat,169854,Inner Regional Australia,4,2019,2019-4,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,4,2021,2021-4,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,5,2015,2015-5,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,5,2016,2016-5,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,5,2017,2017-5,4,4,2.354963675,2.354963675
Ballarat,169854,Inner Regional Australia,5,2018,2018-5,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,5,2019,2019-5,1,2,0.588740919,1.177481837
Ballarat,169854,Inner Regional Australia,5,2020,2020-5,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,5,2021,2021-5,3,3,1.766222756,1.766222756
Ballarat,169854,Inner Regional Australia,6,2015,2015-6,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,6,2016,2016-6,1,2,0.588740919,1.177481837
Ballarat,169854,Inner Regional Australia,6,2018,2018-6,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,6,2019,2019-6,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,7,2016,2016-7,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,7,2018,2018-7,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,7,2019,2019-7,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,8,2016,2016-8,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,8,2017,2017-8,1,2,0.588740919,1.177481837
Ballarat,169854,Inner Regional Australia,8,2018,2018-8,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,8,2020,2020-8,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,9,2017,2017-9,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,9,2020,2020-9,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,10,2016,2016-10,4,4,2.354963675,2.354963675
Ballarat,169854,Inner Regional Australia,10,2017,2017-10,1,2,0.588740919,1.177481837
Ballarat,169854,Inner Regional Australia,10,2018,2018-10,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,10,2019,2019-10,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,10,2020,2020-10,3,3,1.766222756,1.766222756
Ballarat,169854,Inner Regional Australia,11,2015,2015-11,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,11,2016,2016-11,2,3,1.177481837,1.766222756
Ballarat,169854,Inner Regional Australia,11,2017,2017-11,2,3,1.177481837,1.766222756
Ballarat,169854,Inner Regional Australia,11,2018,2018-11,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,11,2020,2020-11,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,12,2016,2016-12,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,12,2017,2017-12,1,1,0.588740919,0.588740919
Ballarat,169854,Inner Regional Australia,12,2018,2018-12,2,2,1.177481837,1.177481837
Ballarat,169854,Inner Regional Australia,12,2019,2019-12,2,3,1.177481837,1.766222756
Ballarat,169854,Outer Regional Australia,5,2018,2018-5,1,4,0.588740919,2.354963675
Barossa - Yorke - Mid North,114862,Inner Regional Australia,1,2017,2017-1,1,2,0.870609949,1.741219899
Barossa - Yorke - Mid North,114862,Inner Regional Australia,1,2018,2018-1,1,1,0.870609949,0.870609949
Barossa - Yorke - Mid North,114862,Inner Regional Australia,1,2019,2019-1,1,1,0.870609949,0.870609949
Barossa - Yorke - Mid North,114862,Inner Regional Australia,1,2020,2020-1,1,1,0.870609949,0.870609949
