SA4,Crash_Count,Fatality_Count,Population,Crash_Rate,Fatality_Rate,Population,State,State_Initial
Riverina,108,118,161929,66.7,72.87,161929,New South Wales,NSW
Shepparton,89,95,134857,66,70.44,134857,Victoria,Vic
South Australia - Outback,72,80,84095,85.62,95.13,84095,South Australia,SA
South Australia - South East,155,170,194817,79.56,87.26,194817,South Australia,SA
South East,31,32,40168,77.18,79.67,40168,Tasmania,Tas
Southern Highlands and Shoalhaven,74,83,158728,46.62,52.29,158728,New South Wales,NSW
Sunshine Coast,56,56,393049,14.25,14.25,393049,Queensland,Qld
Sydney - Baulkham Hills and Hawkesbury,38,40,257359,14.77,15.54,257359,New South Wales,NSW
Sydney - Blacktown,41,46,385650,10.63,11.93,385650,New South Wales,NSW
Sydney - City and Inner South,49,53,372826,13.14,14.22,372826,New South Wales,NSW
Sydney - Eastern Suburbs,26,27,296088,8.78,9.12,296088,New South Wales,NSW
Sydney - Inner South West,74,79,630964,11.73,12.52,630964,New South Wales,NSW
Sydney - Inner West,27,28,326651,8.27,8.57,326651,New South Wales,NSW
Sydney - North Sydney and Hornsby,52,53,442646,11.75,11.97,442646,New South Wales,NSW
Sydney - Northern Beaches,26,26,274041,9.49,9.49,274041,New South Wales,NSW
Sydney - Outer South West,47,52,294899,15.94,17.63,294899,New South Wales,NSW
Sydney - Outer West and Blue Mountains,54,58,331168,16.31,17.51,331168,New South Wales,NSW
Sydney - Parramatta,77,80,507197,15.18,15.77,507197,New South Wales,NSW
Sydney - Ryde,30,30,207511,14.46,14.46,207511,New South Wales,NSW
Sydney - South West,80,86,462408,17.3,18.6,462408,New South Wales,NSW
Sydney - Sutherland,32,33,231941,13.8,14.23,231941,New South Wales,NSW
Toowoomba,13,13,159991,8.13,8.13,159991,Queensland,Qld
Townsville,59,71,238813,24.71,29.73,238813,Queensland,Qld
Warrnambool and South West,91,98,125775,72.35,77.92,125775,Victoria,Vic
West and North West,50,53,113755,43.95,46.59,113755,Tasmania,Tas
Western Australia - Outback (North),62,72,98864,62.71,72.83,98864,Western Australia,WA
Western Australia - Outback (South),77,87,116006,66.38,75,116006,Western Australia,WA
Western Australia - Wheat Belt,164,187,137509,119.26,135.99,137509,Western Australia,WA
Wide Bay,126,144,302105,41.71,47.67,302105,Queensland,Qld
